From Dowsett (1986),From Bowie (2003),Exclude,Order,Genus,Superspecies,Species,Group,Subspecies,Upper Guinea Highlands,Bioko,Mt. Cameroon,Cameroon Highlands,Bamenda & Adamawa,Monte Alen,Lendu,West Rift,Rwenzori,East Rift,Kabobo,Marungu,Mahale,North Somali Mtns,Djibouti,West Ethiopia,East Ethiopia,S Eth-N Ken,Imatong,Elgon,West Kenya,Kenya-Aberdare,Ngorongoro,Meru,Kilimanjaro,Taita,Pare,Usambara,Nguu,Nguru,Ukaguru,Rubeho,Uluguru,Udzungwa,Southern Highlands,Nyika,Kaningina,Dedza-Salima,Zomba,Thyolo,Mulanje,Namuli,Gorongosa,Chimanimani,N Drakensberg,S Drakensberg,Cape Fold Mountains,Central African Plateau (Zambia),Angola,Rondo Plateau,Mayombe
Yes,Yes,,647,Nectarinia,tacazze,tacazze,tacazze,jacksoni,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,648,Nectarinia,tacazze,tacazze,tacazze,tacazze,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,649,Nectarinia,kilimensis,kilimensis,kilimensis,arturi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,,,,1,,,,,,,
Yes,Yes,,650,Nectarinia,kilimensis,kilimensis,kilimensis,gadowi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Yes,Yes,,651,Nectarinia,kilimensis,kilimensis,kilimensis,kilimensis,,,,,,,1,1,1,1,1,1,,,,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,652,Nectarinia,famosa,famosa,famosa,cupreonitens,,,,,,,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,
Yes,Yes,,653,Nectarinia,famosa,famosa,famosa,famosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,
Yes,Yes,,654,Nectarinia,johnstoni,johnstoni,johnstoni,dartmouthi,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,655,Nectarinia,johnstoni,johnstoni,johnstoni,itombwensis,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,656,Nectarinia,johnstoni,johnstoni,johnstoni,johnstoni,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,657,Nectarinia,johnstoni,johnstoni,johnstoni,nyikensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,
Yes,Yes,,658,Drepanorhynchus,reichenowi,reichenowi,reichenowi,lathburyi,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,659,Drepanorhynchus,reichenowi,reichenowi,reichenowi,reichenowi,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,660,Drepanorhynchus,reichenowi,reichenowi,reichenowi,shellyae,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,661,Cinnyris,afer,stuhlmanni,stuhlmanni,chapini,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,662,Cinnyris,afer,stuhlmanni,stuhlmanni,graueri,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,663,Cinnyris,afer,stuhlmanni,stuhlmanni,schubotzi,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,664,Cinnyris,afer,stuhlmanni,stuhlmanni,stuhlmanni,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,665,Cinnyris,afer,prigoginei,prigoginei,prigoginei,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,666,Cinnyris,afer,ludovicensis,ludovicensis,ludovicensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
,Yes,,667,Cinnyris,afer,ludovicensis,whytei,whytei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Yes,Yes,,668,Cinnyris,reichenowi,reichenowi,reichenowi,genderuensis,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,669,Cinnyris,reichenowi,reichenowi,reichenowi,preussi,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,670,Cinnyris,reichenowi,reichenowi,reichenowi,reichenowi,,,,,,,1,1,1,1,1,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,671,Cinnyris,afer,afer,afer,afer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,
Yes,Yes,,672,Cinnyris,afer,afer,afer,saliens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Yes,Yes,,673,Cinnyris,regius,regalis,regalis,anderseni,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,674,Cinnyris,regius,regius,regius,regius,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,675,Cinnyris,rockefelleri,rockefelleri,rockefelleri,rockefelleri,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,676,Cinnyris,mediocris,fuelleborni,fuelleborni,bensoni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,
Yes,Yes,,677,Cinnyris,mediocris,mediocris,mediocris,mediocris,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,678,Cinnyris,mediocris,fuelleborni,fuelleborni,fuelleborni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,
Yes,Yes,,679,Cinnyris,mediocris,usambaricus,usambaricus,usambaricus,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,680,Cinnyris,mediocris,moreaui,moreaui,moreaui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,1,,,,,,,,,,,,,,,,,
Yes,Yes,,681,Cinnyris,mediocris,loveridgei,loveridgei,loveridgei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
,,,682,Cinnyris,habessinicus,habessinicus,habessinicus,alter,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,683,Cinnyris,habessinicus,habessinicus,habessinicus,habessinicus,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,684,Cinnyris,habessinicus,habessinicus,habessinicus,turkanae,,,,,,,,,,,,,,,,,,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Exclude,685,Cinnyris,habessinicus,habessinicus,hellmayri,hellmayri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Exclude,686,Cinnyris,habessinicus,habessinicus,hellmayri,kinneari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,687,Cinnyris,rufipennis,rufipennis,rufipennis,rufipennis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,Yes,,688,Cinnyris,oustaleti,oustaleti,oustaleti,oustaleti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
,Yes,,689,Cinnyris,oustaleti,oustaleti,oustaleti,rhodesiae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,
Yes,Yes,,690,Cinnyris,ursulae,ursulae,ursulae,ursulae,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,691,Ploceus,bertrandi,bertrandi,bertrandi,bertrandi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,,,,,,,,,
Yes,Yes,,692,Ploceus,baglafecht,baglafecht,baglafecht,baglafecht,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,693,Ploceus,baglafecht,baglafecht,baglafecht,eremobius,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,694,Ploceus,baglafecht,baglafecht,baglafecht,neumanni,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,695,Ploceus,baglafecht,baglafecht,emini,emini,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,696,Ploceus,baglafecht,baglafecht,reichenowi,reichenowi,,,,,,,,,,,,,,,,,1,1,,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,697,Ploceus,baglafecht,baglafecht,stuhlmanni,nyikae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Yes,Yes,,698,Ploceus,baglafecht,baglafecht,stuhlmanni,sharpii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Yes,Yes,,699,Ploceus,baglafecht,baglafecht,stuhlmanni,stuhlmanni,,,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,
Yes,Yes,,700,Ploceus,bannermanni,bannermanni,bannermanni,bannermanni,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,701,Ploceus,melanogaster,melanogaster,melanogaster,melanogaster,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,702,Ploceus,melanogaster,melanogaster,stephanophorus,stephanophorus,,,,,,,1,1,1,1,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,703,Ploceus,alienus,alienus,alienus,alienus,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,704,Ploceus,spekei,spekei,spekei,spekei,,,,,,,,,,,,,,1,,1,1,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,705,Ploceus,aureonucha,aureonucha,aureonucha,aureonucha,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,706,Ploceus,insignis,insignis,insignis,insignis,,1,1,1,1,,1,1,1,1,1,,1,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
,Yes,,707,Ploceus,nicolli,nicolli,nicolli,anderseni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,
,Yes,,708,Ploceus,nicolli,nicolli,nicolli,nicolli,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
,,,709,Euplectes,capensis,capensis,capensis,angolensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
,,,710,Euplectes,capensis,capensis,capensis,approximans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,
,,,711,Euplectes,capensis,capensis,capensis,capensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
,,,712,Euplectes,capensis,capensis,capensis,crassirostris,,,,,,,1,1,1,1,1,1,1,,,,,,1,1,1,1,1,1,1,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,,1,
,,,713,Euplectes,capensis,capensis,phoenicomerus,phoenicomerus,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,714,Euplectes,capensis,capensis,xanthomelas,xanthomelas,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,715,Euplectes,psammocromius,psammocromius,psammocromius,psammocromius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,
Yes,,,716,Euplectes,jacksoni,jacksoni,jacksoni,jacksoni,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,717,Nesocharis,shelleyi,shelleyi,shelleyi,bansoensis,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,718,Nesocharis,shelleyi,shelleyi,shelleyi,shelleyi,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,719,Nesocharis,ansorgei,ansorgei,ansorgei,ansorgei,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1
Yes,Yes,,720,Coccopygia,melanotis,bocagei,bocagei,bocagei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Yes,Yes,,721,Coccopygia,melanotis,melanotis,melanotis,melanotis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,
Yes,Yes,,722,Coccopygia,melanotis,quartinia,quartinia,kilimensis,,,,,,,1,1,1,1,1,1,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,
Yes,Yes,,723,Coccopygia,melanotis,quartinia,quartinia,quartinia,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,724,Coccopygia,melanotis,quartinia,quartinia,stuartirwini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,,,,,,
Yes,Yes,,725,Cryptospiza,shelleyi,shelleyi,shelleyi,shelleyi,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,726,Cryptospiza,jacksoni,jacksoni,jacksoni,jacksoni,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,727,Cryptospiza,salvadorii,salvadorii,salvadorii,kilimensis,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,728,Cryptospiza,salvadorii,salvadorii,salvadorii,ruwenzori,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,729,Cryptospiza,salvadorii,salvadorii,salvadorii,salvadorii,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,730,Cryptospiza,reichenovii,reichenovii,australis,australis,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,
Yes,Yes,,731,Cryptospiza,reichenovii,reichenovii,australis,ocularis,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,732,Cryptospiza,reichenovii,reichenovii,reichenovii,reichenovii,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,Exclude,733,Estrilda,paludicola,paludicola,ochrogaster,ochrogaster,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,734,Estrilda,kandti,kandti,kandti,kandti,,,,,,,,1,,1,1,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,735,Euschistospiza,cinereovinacea,cinereovinacea,cinereovinacea,cinereovinacea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Yes,Yes,,736,Euschistospiza,cinereovinacea,cinereovinacea,cinereovinacea,graueri,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,737,Pytilia,lineata,lineata,lineata,lineata,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,738,Motacilla,clara,clara,clara,chapini,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,,739,Motacilla,clara,clara,clara,clara,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,740,Motacilla,clara,clara,clara,torrentium,,,,,,,1,1,1,1,1,1,1,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,,
,Yes,,741,Anthus,cinnamomeus,cinnamomeus,camaroonensis,camaroonensis,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,742,Anthus,cinnamomeus,cinnamomeus,cinnamomeus,annae,,,,,,,,,,,,,,1,1,1,1,1,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,743,Anthus,cinnamomeus,cinnamomeus,cinnamomeus,bocagii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
,Yes,,744,Anthus,cinnamomeus,cinnamomeus,cinnamomeus,cinnamomeus,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,Exclude,745,Anthus,cinnamomeus,cinnamomeus,cinnamomeus,grotei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,746,Anthus,cinnamomeus,cinnamomeus,cinnamomeus,itombwensis,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,747,Anthus,cinnamomeus,cinnamomeus,cinnamomeus,lacuum,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,748,Anthus,cinnamomeus,cinnamomeus,cinnamomeus,lichenya,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,1,,,,1,1,,
,Yes,,749,Anthus,cinnamomeus,cinnamomeus,cinnamomeus,lynesi,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,750,Anthus,cinnamomeus,cinnamomeus,cinnamomeus,rufuloides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,
,Yes,,751,Anthus,cinnamomeus,cinnamomeus,cinnamomeus,spurius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,
,Yes,Exclude,752,Anthus,cinnamomeus,cinnamomeus,cinnamomeus,stabilis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,Exclude,753,Anthus,cinnamomeus,cinnamomeus,eximius,eximius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,754,Anthus,cinnamomeus,cinnamomeus,latistriatus,latistriatus,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,755,Anthus,cinnamomeus,hoeschi,hoeschi,hoeschi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
,Yes,Exclude,756,Anthus,similis,similis,arabicus,arabicus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,757,Anthus,similis,similis,bannermani,bannermani,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,Exclude,758,Anthus,similis,similis,captus,captus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,759,Anthus,similis,similis,chyuluensis,chyuluensis,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,Exclude,760,Anthus,similis,similis,jerdoni,decaptus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,Exclude,761,Anthus,similis,similis,jerdoni,jerdoni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,Exclude,762,Anthus,similis,similis,nivescens,asbenaicus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,763,Anthus,similis,similis,nivescens,dewittei,,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
,Yes,,764,Anthus,similis,similis,nivescens,hararensis,,,,,,,,,,,,,,,,1,1,1,1,,1,1,1,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,765,Anthus,similis,similis,nivescens,jebelmarrae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,766,Anthus,similis,similis,nivescens,nivescens,,,,,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,Exclude,767,Anthus,similis,similis,similis,similis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,Exclude,768,Anthus,similis,similis,similis,travancoriensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,Exclude,769,Anthus,similis,similis,sokotrae,sokotrae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,Exclude,770,Anthus,similis,similis,yamethini,yamethini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,771,Anthus,similis,nicholsoni,nicholsoni,palliditinctus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
,Yes,Exclude,772,Anthus,similis,nicholsoni,nicholsoni,leucocraspedon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,Exclude,773,Anthus,similis,nicholsoni,nicholsoni,nicholsoni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,774,Anthus,similis,nicholsoni,nicholsoni,petricolus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,
,Yes,,775,Anthus,similis,nicholsoni,nicholsoni,primarius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,
Yes,Yes,,776,Anthus,lineiventris,crenatus,crenatus,crenatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,
Yes,Yes,,777,Anthus,lineiventris,lineiventris,lineiventris,lineiventris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Yes,Yes,,778,Anthus,lineiventris,lineiventris,lineiventris,stygium,,,,,,,,,,1,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,,,,1,,
,,,779,Anthus,caffer,caffer,caffer,australoabyssinicus,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,780,Anthus,caffer,caffer,caffer,blayneyi,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,781,Anthus,caffer,caffer,caffer,caffer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
,,,782,Anthus,caffer,caffer,caffer,mzimbaensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,1,1,,
,,,783,Anthus,caffer,caffer,caffer,traylori,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Yes,Yes,,784,Hemimacronyx,chloris,chloris,chloris,chloris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,
Yes,Yes,,785,Hemimacronyx,sharpei,sharpei,sharpei,sharpei,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,786,Macronyx,flavicollis,flavicollis,flavicollis,flavicollis,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,787,Rhynchostruthus,louisae,louisae,louisae,louisae,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,788,Linurgus,olivaceus,olivaceus,olivaceus,elgonensis,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,789,Linurgus,olivaceus,olivaceus,olivaceus,kilimensis,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,
Yes,Yes,,790,Linurgus,olivaceus,olivaceus,olivaceus,olivaceus,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,791,Linurgus,olivaceus,olivaceus,olivaceus,prigoginei,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,792,Crithagra,citrinelloides,citrinelloides,citrinelloides,citrinelloides,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
